Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
d_degeaofficial,Sports with a ball,12900000.0,United Kingdom,306800.0,434400.0
daddyyankee,Music,44900000.0,Argentina,1300000.0,1800000.0
dagelan,Humor & Fun & Happiness,20600000.0,Indonesia,83400.0,140500.0
danbilzerian,Cinema & Actors/actresses,32800000.0,India,1300000.0,2100000.0
danialves,Sports with a ball,35700000.0,Brazil,170600.0,264900.0
daniel.k.here,Lifestyle,4800000.0,Indonesia,458900.0,577400.0
danielricciardo,Racing Sports,6600000.0,United States,361100.0,469200.0
dannapaola,Music,33500000.0,Mexico,931600.0,1300000.0
daquan,Humor & Fun & Happiness,16800000.0,United States,364200.0,561900.0
darshanravaldz,Music,14800000.0,India,205900.0,249100.0
dava_m,Business & Careers,13700000.0,Russia,166000.0,215900.0
davidalaba,Sports with a ball,8500000.0,Spain,301400.0,426700.0
davidbeckham,Family,71900000.0,India,500400.0,641100.0
davidluiz23,Sports with a ball,21200000.0,Brazil,69800.0,152400.0
davido,Music,23300000.0,Nigeria,184900.0,259300.0
davidwarner31,Sports with a ball,9100000.0,India,238200.0,279700.0
davikah,Modeling,15900000.0,Thailand,355300.0,460800.0
dbook,Music,5100000.0,United States,248800.0,489000.0
ddlovato,Music,128700000.0,United States,319800.0,418400.0
dean.schneider,Animals,10100000.0,India,271500.0,348200.0
dearra,Lifestyle,6000000.0,United States,236900.0,589900.0
debbyryan,Music,16700000.0,United States,169400.0,246400.0
deepikapadukone,Cinema & Actors/actresses,65500000.0,India,347200.0,450300.0
deiveleonardo,Literature & Journalism,10800000.0,Brazil,234300.0,431400.0
demetozdemir,Cinema & Actors/actresses,15000000.0,Turkey,335600.0,449000.0
demirose,Modeling,19200000.0,United States,395900.0,515000.0
dew_jsu,Music,4500000.0,Indonesia,798400.0,1100000.0
dhanushkraja,Cinema & Actors/actresses,4200000.0,India,685100.0,886300.0
diddy,Music,18400000.0,United States,109400.0,164500.0
diljitdosanjh,Cinema & Actors/actresses,12900000.0,India,203300.0,244700.0
dindahw,Cinema & Actors/actresses,13900000.0,Indonesia,288800.0,431500.0
dishapatani,Cinema & Actors/actresses,49600000.0,India,909300.0,1100000.0
divyankatripathidahiya,Shows,18900000.0,India,146500.0,168200.0
dixiedamelio,Music,25100000.0,United States,293000.0,430300.0
djokernole,Sports with a ball,10400000.0,Serbia,195700.0,240900.0
djsnake,Music,9100000.0,India,362200.0,429600.0
djxiao_888,Music,6600000.0,Indonesia,1100000.0,1300000.0
dkharbour,Cinema & Actors/actresses,6200000.0,United States,352200.0,461500.0
dlwlrma,Art/Artists,25800000.0,South Korea,2900000.0,3500000.0
dntlrdl,Lifestyle,5900000.0,Indonesia,1500000.0,2000000.0
do0_nct,Music,9800000.0,Indonesia,1400000.0,1900000.0
dojacat,Music,22400000.0,United States,2800000.0,3900000.0
domelipa,Lifestyle,17200000.0,Mexico,1100000.0,1300000.0
dominicfike,Music,3700000.0,United States,419900.0,799000.0
donya,Fashion,14700000.0,Iran,379800.0,596700.0
dovecameron,Cinema & Actors/actresses,46400000.0,United States,618500.0,807200.0
